# Starting date:             2014-12-15 13:46:56
# Cluster job name:          rank.tr.ro.15_02_of_10
# Cluster job ID:            181154
# Cluster node:              hnode26
# Cluster queue:             mpi.q
# Complementation algorithm: rank -tr -ro
# Data:                      15.02_of_10.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
states	t_out	m_out	real_t	tcpu_t	ucpu_t	scpu_t	dt	da	file
79122	N	N	113.681	150.785	149.557	1.228	1.2	0.2	s15_t1.2_a0.2_001.gff
NA	Y	N	587.752	601.548	600.439	1.109	1.2	0.2	s15_t1.2_a0.2_002.gff
2693	N	N	3.743	7.094	6.779	0.315	1.2	0.2	s15_t1.2_a0.2_003.gff
NA	Y	N	579.697	601.843	598.361	3.482	1.2	0.2	s15_t1.2_a0.2_004.gff
7374	N	N	7.386	13.424	13.065	0.359	1.2	0.2	s15_t1.2_a0.2_005.gff
NA	Y	N	379.951	601.887	600.542	1.345	1.2	0.2	s15_t1.2_a0.2_006.gff
9258	N	N	11.101	17.201	16.858	0.343	1.2	0.2	s15_t1.2_a0.2_007.gff
NA	Y	N	599.167	601.631	600.610	1.021	1.2	0.2	s15_t1.2_a0.2_008.gff
NA	N	Y	178.193	230.615	229.317	1.298	1.2	0.2	s15_t1.2_a0.2_009.gff
NA	Y	N	377.928	601.840	600.044	1.796	1.2	0.2	s15_t1.2_a0.2_010.gff
5784	N	N	7.107	10.009	9.679	0.330	1.2	0.2	s15_t1.2_a0.2_011.gff
20740	N	N	21.458	29.895	29.143	0.752	1.2	0.2	s15_t1.2_a0.2_012.gff
21133	N	N	14.113	22.318	21.844	0.474	1.2	0.2	s15_t1.2_a0.2_013.gff
60289	N	N	105.779	141.552	140.479	1.073	1.2	0.2	s15_t1.2_a0.2_014.gff
44254	N	N	43.426	57.253	56.517	0.736	1.2	0.2	s15_t1.2_a0.2_015.gff
NA	Y	N	599.771	601.572	600.326	1.246	1.2	0.2	s15_t1.2_a0.2_016.gff
NA	Y	N	550.891	601.329	599.731	1.598	1.2	0.2	s15_t1.2_a0.2_017.gff
44079	N	N	45.454	58.530	57.778	0.752	1.2	0.2	s15_t1.2_a0.2_018.gff
NA	Y	N	603.313	602.090	600.635	1.455	1.2	0.2	s15_t1.2_a0.2_019.gff
NA	Y	N	318.413	602.252	600.993	1.259	1.2	0.2	s15_t1.2_a0.2_020.gff
