# Starting date:             2015-05-16 16:32:40
# Cluster job name:          piterman.eq.sim.ro.michel
# Cluster job ID:            7369716
# Cluster node:              jnode17
# Cluster queue:             highmem.q
# GOAL command:              complement -m piterman -eq -sim -ro
# Input data:                michel.tar.gz
# Memory limit (Java heap):  14G
# Timeout (CPU time):        No timeout
id,states,timeout,memout,cpu_time,real_time,dt,da,file
1,23,N,N,2.395,2.845,,,michel_n1.gff
2,251,N,N,4.703,10.276,,,michel_n2.gff
3,5167,N,N,88.503,80.693,,,michel_n3.gff
4,NA,N,Y,8949.216,7759.228,,,michel_n4.gff
