# Starting date:             2014-12-15 14:30:41
# Cluster job name:          rank.tr.ro.15_10_of_10
# Cluster job ID:            181162
# Cluster node:              hnode42
# Cluster queue:             mpi.q
# Complementation algorithm: rank -tr -ro
# Data:                      15.10_of_10.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
states	t_out	m_out	real_t	tcpu_t	ucpu_t	scpu_t	dt	da	file
15	N	N	1.472	2.543	2.409	0.134	2.8	1.0	s15_t2.8_a1.0_001.gff
14	N	N	1.361	2.527	2.385	0.142	2.8	1.0	s15_t2.8_a1.0_002.gff
16	N	N	1.566	2.496	2.358	0.138	2.8	1.0	s15_t2.8_a1.0_003.gff
19	N	N	1.483	2.519	2.368	0.151	2.8	1.0	s15_t2.8_a1.0_004.gff
12	N	N	1.849	2.500	2.384	0.116	2.8	1.0	s15_t2.8_a1.0_005.gff
19	N	N	1.440	2.591	2.466	0.125	2.8	1.0	s15_t2.8_a1.0_006.gff
21	N	N	1.393	2.558	2.420	0.138	2.8	1.0	s15_t2.8_a1.0_007.gff
16	N	N	1.431	2.552	2.402	0.150	2.8	1.0	s15_t2.8_a1.0_008.gff
18	N	N	1.505	2.573	2.437	0.136	2.8	1.0	s15_t2.8_a1.0_009.gff
22	N	N	1.580	2.560	2.420	0.140	2.8	1.0	s15_t2.8_a1.0_010.gff
33	N	N	1.382	2.526	2.392	0.134	2.8	1.0	s15_t2.8_a1.0_011.gff
15	N	N	1.454	2.573	2.417	0.156	2.8	1.0	s15_t2.8_a1.0_012.gff
14	N	N	1.513	2.547	2.409	0.138	2.8	1.0	s15_t2.8_a1.0_013.gff
16	N	N	1.475	2.554	2.404	0.150	2.8	1.0	s15_t2.8_a1.0_014.gff
15	N	N	1.648	2.546	2.414	0.132	2.8	1.0	s15_t2.8_a1.0_015.gff
21	N	N	1.643	2.544	2.414	0.130	2.8	1.0	s15_t2.8_a1.0_016.gff
22	N	N	3.526	2.630	2.480	0.150	2.8	1.0	s15_t2.8_a1.0_017.gff
18	N	N	1.491	2.551	2.391	0.160	2.8	1.0	s15_t2.8_a1.0_018.gff
27	N	N	1.604	2.594	2.450	0.144	2.8	1.0	s15_t2.8_a1.0_019.gff
18	N	N	1.509	2.563	2.414	0.149	2.8	1.0	s15_t2.8_a1.0_020.gff
13	N	N	1.713	2.556	2.405	0.151	2.8	1.0	s15_t2.8_a1.0_021.gff
22	N	N	1.630	2.589	2.438	0.151	2.8	1.0	s15_t2.8_a1.0_022.gff
20	N	N	1.445	2.557	2.427	0.130	2.8	1.0	s15_t2.8_a1.0_023.gff
13	N	N	1.420	2.540	2.410	0.130	2.8	1.0	s15_t2.8_a1.0_024.gff
31	N	N	1.377	2.517	2.377	0.140	2.8	1.0	s15_t2.8_a1.0_025.gff
