# Starting date:             2015-05-16 16:32:29
# Cluster job name:          fribourg.goal
# Cluster job ID:            7369702
# Cluster node:              hnode17
# Cluster queue:             mpi.q
# GOAL command:              complement -m fribourg
# Input data:                goal.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
id,states,timeout,memout,cpu_time,real_time,dt,da,file
72,66,N,N,2.812,5.148,1.0,0.1,s15_t1.0_a0.1_072.gff
73,3783,N,N,8.757,20.174,1.0,0.1,s15_t1.0_a0.1_073.gff
74,166,N,N,2.987,6.878,1.0,0.1,s15_t1.0_a0.1_074.gff
75,91,N,N,2.871,13.009,1.0,0.1,s15_t1.0_a0.1_075.gff
76,7147,N,N,14.924,15.446,1.0,0.1,s15_t1.0_a0.1_076.gff
77,255,N,N,3.312,5.558,1.0,0.1,s15_t1.0_a0.1_077.gff
78,4044,N,N,8.423,8.799,1.0,0.1,s15_t1.0_a0.1_078.gff
79,44,N,N,2.562,7.567,1.0,0.1,s15_t1.0_a0.1_079.gff
80,638,N,N,3.887,7.954,1.0,0.1,s15_t1.0_a0.1_080.gff
81,326,N,N,3.351,2.120,1.0,0.1,s15_t1.0_a0.1_081.gff
82,1900,N,N,6.433,7.783,1.0,0.1,s15_t1.0_a0.1_082.gff
83,317,N,N,3.358,6.453,1.0,0.1,s15_t1.0_a0.1_083.gff
84,274,N,N,3.223,10.045,1.0,0.1,s15_t1.0_a0.1_084.gff
85,5223,N,N,12.885,9.406,1.0,0.1,s15_t1.0_a0.1_085.gff
86,58,N,N,2.742,4.973,1.0,0.1,s15_t1.0_a0.1_086.gff
87,63,N,N,2.705,6.628,1.0,0.1,s15_t1.0_a0.1_087.gff
88,223,N,N,3.182,3.984,1.0,0.1,s15_t1.0_a0.1_088.gff
89,2084,N,N,6.800,5.000,1.0,0.1,s15_t1.0_a0.1_089.gff
90,136,N,N,2.952,3.782,1.0,0.1,s15_t1.0_a0.1_090.gff
91,1473,N,N,5.811,2.906,1.0,0.1,s15_t1.0_a0.1_091.gff
92,332,N,N,3.399,3.797,1.0,0.1,s15_t1.0_a0.1_092.gff
93,831,N,N,4.106,8.760,1.0,0.1,s15_t1.0_a0.1_093.gff
94,9145,N,N,19.626,15.478,1.0,0.1,s15_t1.0_a0.1_094.gff
95,1069,N,N,4.580,4.699,1.0,0.1,s15_t1.0_a0.1_095.gff
96,78,N,N,2.755,1.799,1.0,0.1,s15_t1.0_a0.1_096.gff
97,6,N,N,2.577,3.249,1.0,0.1,s15_t1.0_a0.1_097.gff
98,599,N,N,3.795,3.781,1.0,0.1,s15_t1.0_a0.1_098.gff
99,60,N,N,2.732,2.389,1.0,0.1,s15_t1.0_a0.1_099.gff
100,100,N,N,2.789,2.465,1.0,0.1,s15_t1.0_a0.1_100.gff
101,116,N,N,2.917,4.876,1.0,0.2,s15_t1.0_a0.2_001.gff
102,490,N,N,3.747,7.223,1.0,0.2,s15_t1.0_a0.2_002.gff
103,17,N,N,2.583,2.497,1.0,0.2,s15_t1.0_a0.2_003.gff
104,531,N,N,3.796,2.099,1.0,0.2,s15_t1.0_a0.2_004.gff
105,613,N,N,3.858,4.937,1.0,0.2,s15_t1.0_a0.2_005.gff
106,68,N,N,2.736,3.631,1.0,0.2,s15_t1.0_a0.2_006.gff
107,50,N,N,2.683,2.756,1.0,0.2,s15_t1.0_a0.2_007.gff
108,334,N,N,3.416,3.116,1.0,0.2,s15_t1.0_a0.2_008.gff
109,97,N,N,2.806,7.103,1.0,0.2,s15_t1.0_a0.2_009.gff
110,55,N,N,2.702,2.014,1.0,0.2,s15_t1.0_a0.2_010.gff
111,170,N,N,3.020,3.702,1.0,0.2,s15_t1.0_a0.2_011.gff
112,9837,N,N,21.526,18.441,1.0,0.2,s15_t1.0_a0.2_012.gff
113,21,N,N,2.626,2.615,1.0,0.2,s15_t1.0_a0.2_013.gff
114,38,N,N,2.639,2.126,1.0,0.2,s15_t1.0_a0.2_014.gff
115,832,N,N,4.077,7.790,1.0,0.2,s15_t1.0_a0.2_015.gff
116,249,N,N,3.228,3.353,1.0,0.2,s15_t1.0_a0.2_016.gff
117,291,N,N,3.291,6.214,1.0,0.2,s15_t1.0_a0.2_017.gff
118,4598,N,N,9.936,11.663,1.0,0.2,s15_t1.0_a0.2_018.gff
119,94,N,N,2.879,6.901,1.0,0.2,s15_t1.0_a0.2_019.gff
120,40,N,N,2.683,3.769,1.0,0.2,s15_t1.0_a0.2_020.gff
121,456,N,N,3.572,5.445,1.0,0.2,s15_t1.0_a0.2_021.gff
122,962,N,N,4.957,13.294,1.0,0.2,s15_t1.0_a0.2_022.gff
123,747,N,N,3.975,9.244,1.0,0.2,s15_t1.0_a0.2_023.gff
