# Starting date:             2015-05-25 20:28:17
# Cluster job name:          piterman.eq.ro.michel
# Cluster job ID:            7911868
# Cluster node:              jnode04
# Cluster queue:             highmem.q
# GOAL command:              complement -m piterman -eq -ro
# Input data:                michel.tar.gz
# Memory limit (Java heap):  14G
# Timeout (CPU time):        No timeout
id,states,timeout,memout,cpu_time,real_time,dt,da,file
1,23,N,N,2.473,4.682,,,michel_n1.gff
2,251,N,N,3.844,3.323,,,michel_n2.gff
3,5167,N,N,42.600,38.896,,,michel_n3.gff
4,175041,N,N,75917.394,75577.554,,,michel_n4.gff
