# Starting date:             2015-05-15 20:13:19
# Cluster job name:          fribourg.r2c.c.michel
# Cluster job ID:            7355330
# Cluster node:              hnode25
# Cluster queue:             mpi.q
# Algorithm:                 fribourg -r2c -c
# Input data:                michel.tar.gz
# Memory limit (Java heap):  2G
# Timeout (CPU time):        172800s
states,t_out,m_out,real_t,cpu_t,dt,da,file
33,N,N,4.573,2.242,,,michel_n1.gff
467,N,N,5.118,3.419,,,michel_n2.gff
8271,N,N,27.017,22.878,,,michel_n3.gff
NA,N,Y,27489.789,27971.882,,,michel_n4.gff
