# Starting date:             2014-12-15 14:00:09
# Cluster job name:          rank.tr.ro.15_08_of_10
# Cluster job ID:            181160
# Cluster node:              hnode18
# Cluster queue:             mpi.q
# Complementation algorithm: rank -tr -ro
# Data:                      15.08_of_10.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
states	t_out	m_out	real_t	tcpu_t	ucpu_t	scpu_t	dt	da	file
194	N	N	2.128	3.827	3.620	0.207	2.4	0.8	s15_t2.4_a0.8_001.gff
84	N	N	1.795	3.246	3.074	0.172	2.4	0.8	s15_t2.4_a0.8_002.gff
210	N	N	2.113	3.871	3.659	0.212	2.4	0.8	s15_t2.4_a0.8_003.gff
208	N	N	1.991	3.890	3.677	0.213	2.4	0.8	s15_t2.4_a0.8_004.gff
180	N	N	1.982	3.487	3.308	0.179	2.4	0.8	s15_t2.4_a0.8_005.gff
231	N	N	3.096	3.991	3.805	0.186	2.4	0.8	s15_t2.4_a0.8_006.gff
206	N	N	2.018	3.982	3.802	0.180	2.4	0.8	s15_t2.4_a0.8_007.gff
156	N	N	2.512	3.632	3.449	0.183	2.4	0.8	s15_t2.4_a0.8_008.gff
143	N	N	1.930	3.669	3.489	0.180	2.4	0.8	s15_t2.4_a0.8_009.gff
177	N	N	1.919	3.582	3.397	0.185	2.4	0.8	s15_t2.4_a0.8_010.gff
57	N	N	1.729	2.981	2.828	0.153	2.4	0.8	s15_t2.4_a0.8_011.gff
259	N	N	2.508	4.089	3.910	0.179	2.4	0.8	s15_t2.4_a0.8_012.gff
283	N	N	2.724	3.999	3.793	0.206	2.4	0.8	s15_t2.4_a0.8_013.gff
198	N	N	2.352	3.827	3.648	0.179	2.4	0.8	s15_t2.4_a0.8_014.gff
176	N	N	1.997	3.702	3.553	0.149	2.4	0.8	s15_t2.4_a0.8_015.gff
225	N	N	2.043	3.778	3.601	0.177	2.4	0.8	s15_t2.4_a0.8_016.gff
82	N	N	2.377	3.105	2.960	0.145	2.4	0.8	s15_t2.4_a0.8_017.gff
108	N	N	1.823	3.467	3.296	0.171	2.4	0.8	s15_t2.4_a0.8_018.gff
191	N	N	2.017	3.806	3.620	0.186	2.4	0.8	s15_t2.4_a0.8_019.gff
239	N	N	2.236	3.942	3.754	0.188	2.4	0.8	s15_t2.4_a0.8_020.gff
203	N	N	2.382	3.806	3.622	0.184	2.4	0.8	s15_t2.4_a0.8_021.gff
69	N	N	3.330	3.229	3.082	0.147	2.4	0.8	s15_t2.4_a0.8_022.gff
138	N	N	1.848	3.450	3.268	0.182	2.4	0.8	s15_t2.4_a0.8_023.gff
136	N	N	2.055	3.684	3.519	0.165	2.4	0.8	s15_t2.4_a0.8_024.gff
302	N	N	2.257	4.153	3.953	0.200	2.4	0.8	s15_t2.4_a0.8_025.gff
289	N	N	4.079	4.001	3.787	0.214	2.4	0.8	s15_t2.4_a0.8_026.gff
78	N	N	1.688	3.021	2.877	0.144	2.4	0.8	s15_t2.4_a0.8_027.gff
202	N	N	2.046	3.765	3.579	0.186	2.4	0.8	s15_t2.4_a0.8_028.gff
