# Starting date:             2015-05-16 16:32:19
# Cluster job name:          fribourg.m1.r2c.macc.r.goal
# Cluster job ID:            7369706
# Cluster node:              hnode03
# Cluster queue:             mpi.q
# GOAL command:              complement -m fribourg -m1 -r2c -macc -r
# Input data:                goal.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
id,states,timeout,memout,cpu_time,real_time,dt,da,file
72,88,N,N,2.600,3.035,1.0,0.1,s15_t1.0_a0.1_072.gff
73,1257,N,N,5.670,5.149,1.0,0.1,s15_t1.0_a0.1_073.gff
74,64,N,N,2.482,5.818,1.0,0.1,s15_t1.0_a0.1_074.gff
75,73,N,N,2.620,1.420,1.0,0.1,s15_t1.0_a0.1_075.gff
76,2612,N,N,8.520,8.357,1.0,0.1,s15_t1.0_a0.1_076.gff
77,90,N,N,2.635,3.433,1.0,0.1,s15_t1.0_a0.1_077.gff
78,1837,N,N,6.532,9.186,1.0,0.1,s15_t1.0_a0.1_078.gff
79,24,N,N,2.344,2.888,1.0,0.1,s15_t1.0_a0.1_079.gff
80,233,N,N,3.078,2.655,1.0,0.1,s15_t1.0_a0.1_080.gff
81,113,N,N,2.779,8.538,1.0,0.1,s15_t1.0_a0.1_081.gff
82,1040,N,N,4.801,7.966,1.0,0.1,s15_t1.0_a0.1_082.gff
83,216,N,N,2.991,1.719,1.0,0.1,s15_t1.0_a0.1_083.gff
84,151,N,N,2.728,2.310,1.0,0.1,s15_t1.0_a0.1_084.gff
85,1158,N,N,6.873,20.228,1.0,0.1,s15_t1.0_a0.1_085.gff
86,31,N,N,2.351,8.537,1.0,0.1,s15_t1.0_a0.1_086.gff
87,43,N,N,2.333,11.102,1.0,0.1,s15_t1.0_a0.1_087.gff
88,125,N,N,2.684,2.866,1.0,0.1,s15_t1.0_a0.1_088.gff
89,1022,N,N,4.894,15.966,1.0,0.1,s15_t1.0_a0.1_089.gff
90,86,N,N,2.500,9.435,1.0,0.1,s15_t1.0_a0.1_090.gff
91,471,N,N,4.339,2.529,1.0,0.1,s15_t1.0_a0.1_091.gff
92,166,N,N,2.835,1.568,1.0,0.1,s15_t1.0_a0.1_092.gff
93,127,N,N,2.907,1.588,1.0,0.1,s15_t1.0_a0.1_093.gff
94,1688,N,N,8.148,8.809,1.0,0.1,s15_t1.0_a0.1_094.gff
95,477,N,N,3.672,5.899,1.0,0.1,s15_t1.0_a0.1_095.gff
96,84,N,N,2.541,3.935,1.0,0.1,s15_t1.0_a0.1_096.gff
97,4,N,N,2.307,4.608,1.0,0.1,s15_t1.0_a0.1_097.gff
98,295,N,N,3.144,8.052,1.0,0.1,s15_t1.0_a0.1_098.gff
99,72,N,N,2.508,9.053,1.0,0.1,s15_t1.0_a0.1_099.gff
100,54,N,N,2.401,3.897,1.0,0.1,s15_t1.0_a0.1_100.gff
101,93,N,N,2.622,3.368,1.0,0.2,s15_t1.0_a0.2_001.gff
102,310,N,N,3.086,6.456,1.0,0.2,s15_t1.0_a0.2_002.gff
103,8,N,N,2.255,1.268,1.0,0.2,s15_t1.0_a0.2_003.gff
104,218,N,N,2.992,6.278,1.0,0.2,s15_t1.0_a0.2_004.gff
105,80,N,N,2.686,3.487,1.0,0.2,s15_t1.0_a0.2_005.gff
106,30,N,N,2.429,1.316,1.0,0.2,s15_t1.0_a0.2_006.gff
107,54,N,N,2.554,3.860,1.0,0.2,s15_t1.0_a0.2_007.gff
108,76,N,N,2.731,2.655,1.0,0.2,s15_t1.0_a0.2_008.gff
109,79,N,N,2.613,1.892,1.0,0.2,s15_t1.0_a0.2_009.gff
110,24,N,N,2.367,1.483,1.0,0.2,s15_t1.0_a0.2_010.gff
111,157,N,N,2.778,3.422,1.0,0.2,s15_t1.0_a0.2_011.gff
112,2295,N,N,7.682,4.546,1.0,0.2,s15_t1.0_a0.2_012.gff
113,12,N,N,2.291,7.111,1.0,0.2,s15_t1.0_a0.2_013.gff
114,29,N,N,2.385,5.500,1.0,0.2,s15_t1.0_a0.2_014.gff
115,144,N,N,3.069,3.355,1.0,0.2,s15_t1.0_a0.2_015.gff
116,70,N,N,2.660,1.513,1.0,0.2,s15_t1.0_a0.2_016.gff
117,129,N,N,2.744,1.605,1.0,0.2,s15_t1.0_a0.2_017.gff
118,2426,N,N,7.243,5.252,1.0,0.2,s15_t1.0_a0.2_018.gff
119,68,N,N,2.523,1.504,1.0,0.2,s15_t1.0_a0.2_019.gff
120,16,N,N,2.333,2.704,1.0,0.2,s15_t1.0_a0.2_020.gff
121,234,N,N,3.040,2.358,1.0,0.2,s15_t1.0_a0.2_021.gff
122,499,N,N,3.662,3.469,1.0,0.2,s15_t1.0_a0.2_022.gff
123,343,N,N,3.467,4.320,1.0,0.2,s15_t1.0_a0.2_023.gff
124,416,N,N,4.598,4.813,1.0,0.2,s15_t1.0_a0.2_024.gff
125,37,N,N,2.424,5.127,1.0,0.2,s15_t1.0_a0.2_025.gff
126,30,N,N,2.407,1.318,1.0,0.2,s15_t1.0_a0.2_026.gff
127,166,N,N,2.910,1.838,1.0,0.2,s15_t1.0_a0.2_027.gff
128,103,N,N,2.677,2.519,1.0,0.2,s15_t1.0_a0.2_028.gff
129,16,N,N,2.334,6.177,1.0,0.2,s15_t1.0_a0.2_029.gff
130,7,N,N,2.343,5.360,1.0,0.2,s15_t1.0_a0.2_030.gff
131,537,N,N,4.283,4.743,1.0,0.2,s15_t1.0_a0.2_031.gff
132,62,N,N,2.706,7.026,1.0,0.2,s15_t1.0_a0.2_032.gff
133,154,N,N,2.791,1.928,1.0,0.2,s15_t1.0_a0.2_033.gff
134,326,N,N,3.216,7.408,1.0,0.2,s15_t1.0_a0.2_034.gff
135,400,N,N,5.210,2.729,1.0,0.2,s15_t1.0_a0.2_035.gff
136,49,N,N,2.456,1.333,1.0,0.2,s15_t1.0_a0.2_036.gff
137,57,N,N,2.575,2.691,1.0,0.2,s15_t1.0_a0.2_037.gff
138,174,N,N,2.902,1.844,1.0,0.2,s15_t1.0_a0.2_038.gff
139,24,N,N,2.461,2.179,1.0,0.2,s15_t1.0_a0.2_039.gff
140,486,N,N,3.549,2.267,1.0,0.2,s15_t1.0_a0.2_040.gff
141,244,N,N,3.041,1.882,1.0,0.2,s15_t1.0_a0.2_041.gff
142,15,N,N,2.319,2.001,1.0,0.2,s15_t1.0_a0.2_042.gff
143,135,N,N,2.655,5.401,1.0,0.2,s15_t1.0_a0.2_043.gff
144,321,N,N,3.070,8.240,1.0,0.2,s15_t1.0_a0.2_044.gff
145,301,N,N,3.234,7.407,1.0,0.2,s15_t1.0_a0.2_045.gff
146,192,N,N,3.338,9.666,1.0,0.2,s15_t1.0_a0.2_046.gff
147,555,N,N,5.240,2.701,1.0,0.2,s15_t1.0_a0.2_047.gff
148,12,N,N,2.300,8.197,1.0,0.2,s15_t1.0_a0.2_048.gff
149,125,N,N,2.972,13.085,1.0,0.2,s15_t1.0_a0.2_049.gff
150,579,N,N,3.621,6.232,1.0,0.2,s15_t1.0_a0.2_050.gff
151,118,N,N,2.844,12.201,1.0,0.2,s15_t1.0_a0.2_051.gff
152,125,N,N,2.704,1.661,1.0,0.2,s15_t1.0_a0.2_052.gff
153,360,N,N,3.456,4.666,1.0,0.2,s15_t1.0_a0.2_053.gff
154,1033,N,N,5.038,2.472,1.0,0.2,s15_t1.0_a0.2_054.gff
155,456,N,N,3.596,3.167,1.0,0.2,s15_t1.0_a0.2_055.gff
156,217,N,N,3.166,3.554,1.0,0.2,s15_t1.0_a0.2_056.gff
157,23,N,N,2.373,1.290,1.0,0.2,s15_t1.0_a0.2_057.gff
158,63,N,N,2.487,2.979,1.0,0.2,s15_t1.0_a0.2_058.gff
159,20,N,N,2.414,4.882,1.0,0.2,s15_t1.0_a0.2_059.gff
160,886,N,N,3.949,2.326,1.0,0.2,s15_t1.0_a0.2_060.gff
161,31,N,N,2.377,3.645,1.0,0.2,s15_t1.0_a0.2_061.gff
162,147,N,N,2.726,10.105,1.0,0.2,s15_t1.0_a0.2_062.gff
163,44,N,N,2.545,1.837,1.0,0.2,s15_t1.0_a0.2_063.gff
