# Starting date:             2015-05-16 16:32:19
# Cluster job name:          fribourg.m1.r2c.goal
# Cluster job ID:            7369705
# Cluster node:              hnode03
# Cluster queue:             mpi.q
# GOAL command:              complement -m fribourg -m1 -r2c
# Input data:                goal.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
id,states,timeout,memout,cpu_time,real_time,dt,da,file
72,66,N,N,2.507,3.891,1.0,0.1,s15_t1.0_a0.1_072.gff
73,1969,N,N,6.715,8.874,1.0,0.1,s15_t1.0_a0.1_073.gff
74,144,N,N,2.688,4.763,1.0,0.1,s15_t1.0_a0.1_074.gff
75,82,N,N,2.524,13.539,1.0,0.1,s15_t1.0_a0.1_075.gff
76,4045,N,N,9.309,9.034,1.0,0.1,s15_t1.0_a0.1_076.gff
77,183,N,N,2.716,13.730,1.0,0.1,s15_t1.0_a0.1_077.gff
78,1885,N,N,5.700,4.490,1.0,0.1,s15_t1.0_a0.1_078.gff
79,44,N,N,2.380,1.447,1.0,0.1,s15_t1.0_a0.1_079.gff
80,495,N,N,3.269,18.716,1.0,0.1,s15_t1.0_a0.1_080.gff
81,247,N,N,2.877,7.833,1.0,0.1,s15_t1.0_a0.1_081.gff
82,1218,N,N,4.756,14.281,1.0,0.1,s15_t1.0_a0.1_082.gff
83,245,N,N,2.841,1.932,1.0,0.1,s15_t1.0_a0.1_083.gff
84,232,N,N,2.914,14.988,1.0,0.1,s15_t1.0_a0.1_084.gff
85,2589,N,N,7.767,12.517,1.0,0.1,s15_t1.0_a0.1_085.gff
86,58,N,N,2.405,1.302,1.0,0.1,s15_t1.0_a0.1_086.gff
87,57,N,N,2.396,1.298,1.0,0.1,s15_t1.0_a0.1_087.gff
88,192,N,N,2.797,9.679,1.0,0.1,s15_t1.0_a0.1_088.gff
89,1373,N,N,5.073,5.778,1.0,0.1,s15_t1.0_a0.1_089.gff
90,131,N,N,2.612,4.127,1.0,0.1,s15_t1.0_a0.1_090.gff
91,1242,N,N,4.992,5.486,1.0,0.1,s15_t1.0_a0.1_091.gff
92,261,N,N,2.910,6.641,1.0,0.1,s15_t1.0_a0.1_092.gff
93,521,N,N,3.473,3.534,1.0,0.1,s15_t1.0_a0.1_093.gff
94,3229,N,N,7.368,12.719,1.0,0.1,s15_t1.0_a0.1_094.gff
95,725,N,N,3.730,2.129,1.0,0.1,s15_t1.0_a0.1_095.gff
96,78,N,N,2.455,6.066,1.0,0.1,s15_t1.0_a0.1_096.gff
97,6,N,N,2.296,1.258,1.0,0.1,s15_t1.0_a0.1_097.gff
98,428,N,N,3.129,8.836,1.0,0.1,s15_t1.0_a0.1_098.gff
99,60,N,N,2.387,1.324,1.0,0.1,s15_t1.0_a0.1_099.gff
100,85,N,N,2.430,3.645,1.0,0.1,s15_t1.0_a0.1_100.gff
101,116,N,N,2.631,2.591,1.0,0.2,s15_t1.0_a0.2_001.gff
102,392,N,N,3.129,2.294,1.0,0.2,s15_t1.0_a0.2_002.gff
103,17,N,N,2.305,1.241,1.0,0.2,s15_t1.0_a0.2_003.gff
104,426,N,N,3.106,3.445,1.0,0.2,s15_t1.0_a0.2_004.gff
105,369,N,N,3.054,1.682,1.0,0.2,s15_t1.0_a0.2_005.gff
106,62,N,N,2.446,9.937,1.0,0.2,s15_t1.0_a0.2_006.gff
