# Starting date:             2014-12-15 13:50:49
# Cluster job name:          rank.tr.ro.15_05_of_10
# Cluster job ID:            181157
# Cluster node:              hnode22
# Cluster queue:             mpi.q
# Complementation algorithm: rank -tr -ro
# Data:                      15.05_of_10.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
states	t_out	m_out	real_t	tcpu_t	ucpu_t	scpu_t	dt	da	file
NA	Y	N	293.432	602.903	601.438	1.465	1.8	0.5	s15_t1.8_a0.5_001.gff
3311	N	N	6.093	10.829	10.515	0.314	1.8	0.5	s15_t1.8_a0.5_002.gff
3885	N	N	6.571	10.543	10.230	0.313	1.8	0.5	s15_t1.8_a0.5_003.gff
NA	Y	N	232.661	603.402	602.034	1.368	1.8	0.5	s15_t1.8_a0.5_004.gff
NA	Y	N	285.071	602.540	601.246	1.294	1.8	0.5	s15_t1.8_a0.5_005.gff
51619	N	N	151.803	204.541	203.499	1.042	1.8	0.5	s15_t1.8_a0.5_006.gff
NA	Y	N	259.616	603.023	601.492	1.531	1.8	0.5	s15_t1.8_a0.5_007.gff
10743	N	N	20.867	28.574	28.156	0.418	1.8	0.5	s15_t1.8_a0.5_008.gff
20273	N	N	30.944	40.298	39.700	0.598	1.8	0.5	s15_t1.8_a0.5_009.gff
6986	N	N	12.102	19.818	19.437	0.381	1.8	0.5	s15_t1.8_a0.5_010.gff
9735	N	N	15.022	23.324	22.955	0.369	1.8	0.5	s15_t1.8_a0.5_011.gff
14191	N	N	28.884	38.332	37.782	0.550	1.8	0.5	s15_t1.8_a0.5_012.gff
24693	N	N	39.485	50.192	49.554	0.638	1.8	0.5	s15_t1.8_a0.5_013.gff
NA	Y	N	255.088	602.899	601.447	1.452	1.8	0.5	s15_t1.8_a0.5_014.gff
12706	N	N	18.683	25.876	25.471	0.405	1.8	0.5	s15_t1.8_a0.5_015.gff
5176	N	N	9.835	15.541	15.199	0.342	1.8	0.5	s15_t1.8_a0.5_016.gff
NA	Y	N	234.852	603.733	602.412	1.321	1.8	0.5	s15_t1.8_a0.5_017.gff
6856	N	N	17.595	25.125	24.739	0.386	1.8	0.5	s15_t1.8_a0.5_018.gff
23016	N	N	71.833	85.587	84.829	0.758	1.8	0.5	s15_t1.8_a0.5_019.gff
45415	N	N	136.633	168.678	167.642	1.036	1.8	0.5	s15_t1.8_a0.5_020.gff
NA	Y	N	289.155	602.416	601.147	1.269	1.8	0.5	s15_t1.8_a0.5_021.gff
19907	N	N	51.539	60.333	59.704	0.629	1.8	0.5	s15_t1.8_a0.5_022.gff
31246	N	N	103.872	121.491	120.636	0.855	1.8	0.5	s15_t1.8_a0.5_023.gff
28078	N	N	33.851	42.861	42.274	0.587	1.8	0.5	s15_t1.8_a0.5_024.gff
38648	N	N	52.296	63.951	63.230	0.721	1.8	0.5	s15_t1.8_a0.5_025.gff
4985	N	N	10.373	15.971	15.620	0.351	1.8	0.5	s15_t1.8_a0.5_026.gff
11859	N	N	23.266	31.412	30.967	0.445	1.8	0.5	s15_t1.8_a0.5_027.gff
7957	N	N	15.508	21.664	21.278	0.386	1.8	0.5	s15_t1.8_a0.5_028.gff
NA	Y	N	238.100	602.471	601.275	1.196	1.8	0.5	s15_t1.8_a0.5_029.gff
19783	N	N	22.914	30.937	30.475	0.462	1.8	0.5	s15_t1.8_a0.5_030.gff
NA	Y	N	232.186	602.887	601.453	1.434	1.8	0.5	s15_t1.8_a0.5_031.gff
13029	N	N	27.004	35.752	35.300	0.452	1.8	0.5	s15_t1.8_a0.5_032.gff
NA	N	Y	234.528	510.012	506.910	3.102	1.8	0.5	s15_t1.8_a0.5_033.gff
4095	N	N	7.408	11.961	11.653	0.308	1.8	0.5	s15_t1.8_a0.5_034.gff
NA	Y	N	270.139	602.541	601.305	1.236	1.8	0.5	s15_t1.8_a0.5_035.gff
50337	N	N	135.879	188.806	187.834	0.972	1.8	0.5	s15_t1.8_a0.5_036.gff
23584	N	N	48.532	59.737	59.093	0.644	1.8	0.5	s15_t1.8_a0.5_037.gff
14908	N	N	21.685	29.694	29.226	0.468	1.8	0.5	s15_t1.8_a0.5_038.gff
5524	N	N	8.119	13.952	13.631	0.321	1.8	0.5	s15_t1.8_a0.5_039.gff
34610	N	N	81.018	97.975	97.096	0.879	1.8	0.5	s15_t1.8_a0.5_040.gff
20196	N	N	58.701	70.476	69.801	0.675	1.8	0.5	s15_t1.8_a0.5_041.gff
31153	N	N	72.137	84.241	83.482	0.759	1.8	0.5	s15_t1.8_a0.5_042.gff
NA	Y	N	223.779	602.690	601.254	1.436	1.8	0.5	s15_t1.8_a0.5_043.gff
7808	N	N	13.673	20.354	19.990	0.364	1.8	0.5	s15_t1.8_a0.5_044.gff
NA	Y	N	296.867	602.815	601.425	1.390	1.8	0.5	s15_t1.8_a0.5_045.gff
14071	N	N	45.171	54.647	54.090	0.557	1.8	0.5	s15_t1.8_a0.5_046.gff
NA	Y	N	225.250	603.368	601.750	1.618	1.8	0.5	s15_t1.8_a0.5_047.gff
7022	N	N	13.897	21.836	21.481	0.355	1.8	0.5	s15_t1.8_a0.5_048.gff
25195	N	N	34.983	43.383	42.809	0.574	1.8	0.5	s15_t1.8_a0.5_049.gff
